,Bar Name,Address,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,3 Bar at The South Place Hotel,"3 South Place, London, EC2M 2AF","Sophisticated city-chic hotel bar specialising in gin, in the heart of the East End.",3PM - 10PM,3PM - 10PM,3PM - 10PM,3PM - 10PM,3PM - 10PM,3PM - 10PM,3PM - 10PM
1,46 & Mercy,"46 Commercial Street, London, E1 6LT","Subterranean, retro cocktail bar with low level seating (and lighting) and some delicious mixed drinks to keep you entertained. Just a short step away from the main drag of Shoreditch this is a firm fave with us.",Closed,11:30AM - 2:30PM,11:30AM - 2:30PM,11:30AM - 2:30PM,11:30AM - 2:30PM,6PM - 10PM,12PM - 3:30PM
2,69 Colebrooke Row,"69 Colebrooke Row, London, N1 8AA","Expect weird and wonderful creations from this award-winning cocktail bar, hidden away in the backstreets of Islington and dubbed the birthplace of molecular mixology.",Closed,Closed,5PM - 12AM,5PM - 1AM,5PM - 2AM,5PM - 2AM,5PM - 12AM
3,All Star Lanes White City,"Westfield London Shopping Centre, Ariel Way, London, W12 7FU","Welcome to All Star Lanes where you can drink, dine, bowl and sing in true All Star style. Located in West London, sip on timeless classics and handmade cocktails in this bar, inspired by the opulence and elegance of Miami’s 1950s art deco period.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,10AM - 12AM,10AM - 10PM
4,All Star Lanes Brick Lane,"95 Brick Lane, London, E1 6QL","Welcome to All Star Lanes where you can drink, dine, bowl and sing in true All Star style. Located in the heart of Brick Lane, sip on timeless classics and handmade cocktails inspired by speakeasy nights in Manhattan.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 1AM,11AM - 1AM,11AM - 12AM
5,Apples & Pears,"26 Osborn Road, London, E1 6TD",A funky over 21’s bar at the Whitechapel end of Brick Lane with a small courtyard garden. Colourful touches throughout match perfectly with the tropical-style drinks and fun atmosphere.,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,5PM - 11PM
6,Aqua Shard,"Level 31, The Shard, 31 St Thomas Street, London, SE1 9RY","Head up to the 31st floor of the iconic Shard, London's tallest building, and step out into this atrium like wonder. The outstanding view through the glass windows is equally matched by the Instagram worthy cocktails.",6PM - 11PM,6PM - 11PM,6PM - 11PM,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 11PM
7,Aqua Nueva,"5th Floor, 240 Regent Street, (Entrance on 30 Argyll Street), London, W1B 3BR",Everything about this venue seems decadent and glamorous as you take the lift right to the top floor and the view from the terrace is really something else...,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 5PM,12PM - 12AM
8,Aqua Kyoto,"5th Floor, 30 Argyll Street, London, W1F 7EB",The cocktail bar and terrace has expertly made drinks with sushi on the side if you're hungry.,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 5PM,12PM - 8PM
9,Artesian at the Langham,"1c Portland Place, London, W1B 1JA","Leave the stresses of Oxford Street behind as you enter this jaw-dropping hotel bar, complete with one-of-a-kind interiors and experiential cocktail menus that bring hours of enjoyment.",Closed,Closed,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM
